epoch,accuracy,loss
0,0.9079999923706055,0.24396321177482605
1,0.9097166657447815,0.23726506531238556
2,0.9125000238418579,0.22917787730693817
3,0.915233314037323,0.2242066115140915
4,0.916616678237915,0.21764618158340454
5,0.9203000068664551,0.2125670462846756
6,0.9210333228111267,0.20877605676651
7,0.9232333302497864,0.20292054116725922
8,0.9257833361625671,0.19715890288352966
0,0.9269166588783264,0.19536563754081726
1,0.9295833110809326,0.18855127692222595
2,0.930233359336853,0.1832885593175888
3,0.9312833547592163,0.18123209476470947
4,0.9330333471298218,0.17681309580802917
5,0.933650016784668,0.17448055744171143
6,0.9348000288009644,0.1707880198955536
7,0.9360666871070862,0.16754311323165894
8,0.9380499720573425,0.16380174458026886
9,0.9374833106994629,0.16320060193538666
